name,height,reach,stance,age,weight_class,weight_class_numeric,avg_sig_str,avg_td_pct,avg_sub_att,ko_ratio,sub_ratio,defense,total_fights,win_streak
Patrick Cote,180.34,180.34,Orthodox,37,Welterweight,5,30.9,0.133,0.2,0.4,0.0,2.5,50,0
Mike de la Torre,180.34,180.34,Orthodox,30,Featherweight,3,22.1667,0.083,0.0,0.5,0.0,2.5,10,0
Brad Pickett,167.64,172.72,Orthodox,38,Catch Weight,4,31.8462,0.361,0.1538,0.2,0.2,2.5,30,0
Scott Askham,190.5,190.5,Southpaw,28,Middleweight,6,23.8,0.1,0.6,1.0,0.0,2.5,11,0
Rony Jason,170.18,177.8,Orthodox,32,Featherweight,3,17.125,0.166,0.5,0.5,0.25,2.5,15,0
Garreth McLellan,185.42,182.88,Southpaw,34,Middleweight,6,44.75,0.163,0.75,1.0,0.0,2.5,11,0
Sam Sicilia,172.72,170.18,Orthodox,31,Featherweight,3,22.2727,0.342,0.5455,0.6,0.0,2.5,22,0
Alessandro Ricci,180.34,175.26,Orthodox,34,Lightweight,4,28.0,0.0,0.0,0.0,0.0,2.5,3,0
Reginaldo Vieira,170.18,165.1,Orthodox,34,Bantamweight,2,39.5,0.375,1.0,0.0,0.0,2.5,5,0
Phillipe Nover,175.26,182.88,Orthodox,33,Featherweight,3,18.8333,0.083,0.6667,0.0,0.0,2.5,16,0
Roan Carneiro,180.34,187.96,Orthodox,38,Welterweight,5,14.25,0.42,1.125,0.25,0.25,2.5,17,1
Michinori Tanaka,165.1,170.18,Orthodox,26,Bantamweight,2,30.0,0.458,0.25,0.0,0.0,2.5,12,0
Daniel Jolly,185.42,190.5,Orthodox,32,Light Heavyweight,7,6.0,0.0,0.0,0.0,0.0,2.5,1,0
JC Cottrell,175.26,180.34,Orthodox,27,Lightweight,4,14.0,0.0,0.0,0.0,0.0,2.5,3,0
Viktor Pesta,190.5,195.58,Orthodox,26,Heavyweight,8,18.0,0.198,0.0,0.0,0.0,2.5,11,0
Jocelyn Jones-Lybarger,170.18,162.56,Orthodox,31,Women's Strawweight,4,54.0,0.5,0.0,0.0,0.0,2.5,6,0
Ronda Rousey,170.18,172.72,Orthodox,29,Women's Bantamweight,4,15.8571,0.393,0.7143,0.5,0.5,2.5,10,0
Brandon Thatch,187.96,187.96,Switch,31,Welterweight,5,22.2,0.432,0.0,1.0,0.0,2.5,10,0
Cole Miller,185.42,187.96,Orthodox,32,Featherweight,3,30.7368,0.182,1.2632,0.1,0.7,2.5,42,0
James Moontasri,177.8,180.34,Switch,28,Welterweight,5,19.2,0.0,0.2,0.5,0.5,2.5,10,0
Takeya Mizugaki,170.18,172.72,Orthodox,33,Bantamweight,2,46.1538,0.328,0.0769,0.125,0.0,2.5,34,0
Fredy Serrano,160.02,165.1,Orthodox,37,Flyweight,1,15.0,0.367,0.0,1.0,0.0,2.5,7,0
Tim Kennedy,180.34,187.96,Orthodox,37,Middleweight,6,37.0,0.238,0.25,0.3333333333333333,0.0,2.5,12,0
Valerie Letourneau,170.18,172.72,Orthodox,33,Women's Strawweight,4,78.8,0.44,0.4,0.0,0.0,2.5,17,0
Zach Makovsky,162.56,162.56,Southpaw,33,Flyweight,1,30.5,0.343,0.1667,0.0,0.0,2.5,18,0
Sean O'Connell,185.42,187.96,Orthodox,33,Light Heavyweight,7,49.1667,0.0,0.3333,1.0,0.0,2.5,12,0
Joe Gigliotti,180.34,175.26,Orthodox,23,Middleweight,6,15.0,1.0,1.0,0.0,0.0,2.5,3,0
Tiago Trator,175.26,177.8,Orthodox,29,Featherweight,3,40.3333,0.083,0.3333,0.0,0.0,2.5,7,1
Keith Berish,182.88,185.42,Orthodox,31,Middleweight,6,0.0,0.0,0.0,0.0,0.0,2.5,1,0
Brendan O'Reilly,170.18,175.26,Orthodox,29,Lightweight,4,21.6667,0.533,0.3333,0.0,0.0,2.5,7,0
Elvis Mutapcic,182.88,182.88,Orthodox,30,Middleweight,6,51.0,0.0,0.0,0.0,0.0,2.5,6,0
Kyle Noke,185.42,193.04,Southpaw,36,Welterweight,5,31.0,0.348,0.3636,0.5,0.3333333333333333,2.5,22,0
Yusuke Kasuya,170.18,170.18,Southpaw,27,Lightweight,4,44.0,0.25,0.0,0.0,0.0,2.5,3,0
Seohee Ham,157.48,157.48,Southpaw,29,Women's Strawweight,4,73.6667,0.0,0.3333,0.0,0.0,2.5,9,0
Richard Walsh,182.88,185.42,Orthodox,27,Welterweight,5,55.8,0.176,0.0,0.0,0.0,2.5,13,0
Jonathan Meunier,190.5,190.5,Switch,29,Welterweight,5,16.0,0.0,0.0,0.0,0.0,2.5,3,0
Geane Herrera,165.1,167.64,Orthodox,26,Flyweight,1,20.0,0.5,0.6667,1.0,0.0,2.5,8,0
Ning Guangyou,162.56,162.56,Southpaw,34,Featherweight,3,33.3333,0.553,0.3333,0.5,0.0,2.5,8,0
Yao Zhikui,165.1,162.56,Orthodox,25,Flyweight,1,12.3333,0.053,0.0,0.0,0.0,2.5,7,0
Ryan Bader,187.96,187.96,Orthodox,33,Light Heavyweight,7,25.8421,0.257,0.2632,0.2857142857142857,0.07142857142857142,2.5,44,1
Manvel Gamburyan,165.1,170.18,Orthodox,35,Bantamweight,2,19.3571,0.334,0.5714,0.0,0.5,2.5,32,0
Magnus Cedenblad,195.58,200.66,Orthodox,34,Middleweight,6,15.2,0.22,0.6,0.25,0.5,2.5,10,4
Kyoji Horiguchi,165.1,167.64,Orthodox,26,Flyweight,1,50.1429,0.397,0.0,0.3333333333333333,0.0,2.5,20,2
Ali Bagautinov,162.56,165.1,Orthodox,31,Flyweight,1,47.8333,0.355,0.3333,0.25,0.0,2.5,20,1
Anna Elmose,160.02,165.1,Orthodox,32,Women's Strawweight,4,6.0,0.0,0.0,0.0,0.0,2.5,1,0
Milana Dudieva,160.02,154.94,Orthodox,27,Women's Bantamweight,4,5.5,0.45,0.0,0.0,0.0,2.5,4,0
Heather Jo Clark,167.64,162.56,Orthodox,36,Women's Strawweight,4,63.0,0.1,0.5,0.0,0.0,2.5,6,0
Erik Perez,172.72,172.72,Orthodox,26,Bantamweight,2,31.125,0.331,0.125,0.3333333333333333,0.16666666666666666,2.5,17,2
Erick Montano,182.88,185.42,Orthodox,30,Welterweight,5,35.0,0.455,0.0,0.0,0.0,2.5,6,0
Jason Novelli,182.88,190.5,Orthodox,37,Lightweight,4,8.0,0.0,0.0,0.0,0.0,2.5,2,0
Chris Avila,177.8,182.88,Orthodox,23,Featherweight,3,42.0,0.0,0.0,0.0,0.0,2.5,3,0
Dan Henderson,180.34,187.96,Orthodox,46,Middleweight,6,26.1765,0.232,0.2941,0.4444444444444444,0.0,2.5,42,1
