Red,Blue,Date,WeightClass,Actual,Predicted,Red Prob,Blue Prob,Correct
Leon Edwards,Kamaru Usman,2022-08-20,Welterweight,Red,Blue,49.4%,50.6%,✗
Holly Holm,Ronda Rousey,2015-11-15,Bantamweight,Red,Blue,41.6%,58.4%,✗
